,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
V70482,20151011.0731,Person,Nuisance Fire,49.15490000000001,-124.0368,0.0,50.9,55.3,54.1,49.2,83.57,,18.1,25.3,142.04,,0.01,633.1,0.0,1018.6,"['""""', '49.15490000000001', '-124.0368', '""49.15490000000001', ' -124.0368""', '""49.15490000000001', ' -124.0368""', '""""', '""Rain""\n']"
V60540,20080817.1147,Lightning,Nuisance Fire,48.48280000000001,-123.8243,0.0,54.5,71.1,61.7,55.4,80.46,,10.6,27.7,186.17,,0.01,,0.0,,"['""""', '48.48280000000001', '-123.8243', '""48.48280000000001', ' -123.8243""', '""48.48280000000001', ' -123.8243""', '""""', '""Rain""\n']"
V60137,20100603.1256,Person,Nuisance Fire,48.5092,-123.4672,0.0,48.5,57.0,52.1,45.9,80.41,,6.4,,207.04,47.0,0.07,,0.0,1009.6,"['""""', '48.5092', '-123.4672', '""48.5092', ' -123.4672""', '""48.5092', ' -123.4672""', '""""', '""Rain""\n']"
G90455,20130911.1817,Person,Nuisance Fire,58.747,-121.4628,0.0,46.4,78.4,60.8,50.2,71.61,,8.1,,148.81,44.2,0.0,23.5,27.6,1015.6,"['""""', '58.747', '-121.4628', '""58.747', ' -121.4628""', '""58.747', ' -121.4628""', '""""', '""Partially cloudy""\n']"
V60942,20110909.063,Person,Nuisance Fire,48.463,-123.4716,0.0,53.0,67.6,59.6,55.4,86.41,,7.6,,183.88,,0.0,,0.0,1019.8,"['""""', '48.463', '-123.4716', '""48.463', ' -123.4716""', '""48.463', ' -123.4716""', '""""', '""Clear""\n']"
V70533,20090701.134,Person,Nuisance Fire,49.21,-124.81,0.0,44.0,76.9,61.1,43.3,57.85,,7.2,29.9,243.46,41.4,0.0,19.7,1.4,1019.6,"['""""', '49.21', '-124.81', '""49.21', ' -124.81""', '""49.21', ' -124.81""', '""""', '""Clear""\n']"
V10252,20130721.1449,Person,Nuisance Fire,49.1041,-121.6512,0.0,55.4,78.5,67.6,56.9,70.87,,7.9,20.8,229.63,,0.0,159.1,3.1,1013.2,"['""Smoke Or Haze""', '49.1041', '-121.6512', '""49.1041', ' -121.6512""', '""49.1041', ' -121.6512""', '""""', '""Clear""\n']"
V10555,20110807.1444,Person,Nuisance Fire,49.5718,-121.8134,0.0,58.9,77.6,67.5,56.6,70.24,,9.6,25.8,197.92,,0.04,8.7,12.2,1015.2,"['""""', '49.5718', '-121.8134', '""49.5718', ' -121.8134""', '""49.5718', ' -121.8134""', '""""', '""Rain""\n']"
V60725,20090715.1414,Person,Nuisance Fire,48.5369,-123.4783,0.0,51.9,65.0,57.0,52.0,84.02,,10.4,19.7,225.21,,0.0,8.0,1.4,1019.9,"['""Mist', ' Fog""', '48.5369', '-123.4783', '""48.5369', ' -123.4783""', '""48.5369', ' -123.4783""', '""""', '""Clear""\n']"
V30424,20070901.1528,Person,Nuisance Fire,49.81780000000001,-123.1295,0.0,50.2,69.6,59.3,52.3,79.76,,6.5,,,,0.02,,0.0,1014.6,"['""""', '49.81780000000001', '-123.1295', '""49.81780000000001', ' -123.1295""', '""49.81780000000001', ' -123.1295""', '""""', '""Rain""\n']"
V10412,20080802.1914,Person,Nuisance Fire,49.5385,-121.9169,0.0,52.4,67.9,59.9,55.7,86.77,,7.6,23.4,210.13,,0.16,8.6,22.7,1017.8,"['""Light Rain""', '49.5385', '-121.9169', '""49.5385', ' -121.9169""', '""49.5385', ' -121.9169""', '""""', '""Rain""\n']"
V50258,20090607.1145,Person,Nuisance Fire,49.74910000000001,-124.2813,0.0,56.4,68.1,61.2,51.6,71.4,,9.3,,125.08,,0.0,,0.0,1011.5,"['""""', '49.74910000000001', '-124.2813', '""49.74910000000001', ' -124.2813""', '""49.74910000000001', ' -124.2813""', '""""', '""Clear""\n']"
G90382,20040724.1954,Lightning,Duplicate,59.3333,-121.807,0.0,58.4,89.7,70.8,56.2,66.76,86.3,17.2,,215.63,,0.14,16.1,79.1,1010.0,"['""Lightning Without Thunder', ' Precipitation In Vicinity', ' Thunderstorm', ' Thunderstorm Without Precipitation', ' Rain Showers""', '59.3333', '-121.807', '""59.3333', ' -121.807""', '""59.3333', ' -121.807""', '""""', '""Rain', ' Overcast""\n']"
V10169,20160702.1836,Person,Nuisance Fire,49.6863,-121.7426,0.0,59.1,76.3,69.0,54.1,60.01,,15.2,30.3,241.04,,0.01,134.6,21.4,1014.0,"['""Mist', ' Rain', ' Light Rain""', '49.6863', '-121.7426', '""49.6863', ' -121.7426""', '""49.6863', ' -121.7426""', '""""', '""Rain""\n']"
V70002,20080407.1352,Person,Nuisance Fire,49.24930000000001,-124.0397,0.0,38.3,46.6,42.4,37.8,83.77,,11.2,,97.5,34.7,0.57,,0.0,1016.6,"['""""', '49.24930000000001', '-124.0397', '""49.24930000000001', ' -124.0397""', '""49.24930000000001', ' -124.0397""', '""""', '""Rain""\n']"
V10149,20110611.2143,Person,Nuisance Fire,49.43380000000001,-121.3049,0.0,51.0,63.0,57.8,47.7,69.92,,12.8,24.4,235.17,,0.0,8.7,80.1,1012.7,"['""""', '49.43380000000001', '-121.3049', '""49.43380000000001', ' -121.3049""', '""49.43380000000001', ' -121.3049""', '""""', '""Overcast""\n']"
