FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA,minimum temperature,maximum temperature,average temperature,dew point,relative humidity,heat index,wind speed,wind gust,wind direction,wind chill,precipitation,visibility,cloud cover,sea level pressure,weather_type
N41973,20170831.0715,Lightning,Fire,51.2515,-117.8492,4.1,53.3,79.5,66.0,48.1,56.69,,9.7,19.7,208.21,,0.0,54.4,36.8,1015.9,"['""""', '51.2515', '-117.8492', '""51.2515', ' -117.8492""', '""51.2515', ' -117.8492""', '""""', '""Partially cloudy""\n']"
C20096,20150611.173,Person,Fire,51.9332,-122.5073,2.0,41.3,66.2,54.3,36.7,55.88,,16.1,26.4,255.48,38.0,0.17,14.9,52.9,1014.6,"['""Rain Showers', ' Light Rain', ' Sky Coverage Increasing""', '51.9332', '-122.5073', '""51.9332', ' -122.5073""', '""51.9332', ' -122.5073""', '""""', '""Rain', ' Partially cloudy""\n']"
C10066,20140702.1915,Lightning,Fire,52.9683,-121.0498,10.0,,,,,,,,,,,0.0,,,,"['""""', '52.9683', '-121.0498', '""52.9683', ' -121.0498""', '""52.9683', ' -121.0498""', '""No data available""', '""""\n']"
C52210,20170928.1455,Person,Fire,52.5749,-125.4154,45.0,,,,,,,,,,,0.0,,,,"['""""', '52.5749', '-125.4154', '""52.5749', ' -125.4154""', '""52.5749', ' -125.4154""', '""No data available""', '""""\n']"
R10008,20020428.143,Person,Fire,53.935,-125.655,11.8,39.5,67.2,53.8,31.0,45.17,,10.3,,303.33,37.4,0.0,,0.0,1017.9,"['""""', '53.935', '-125.655', '""53.935', ' -125.655""', '""53.935', ' -125.655""', '""""', '""Clear""\n']"
G90302,20040709.1719,Lightning,Fire,59.13800000000001,-121.126,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
G30035,20160418.1301,Person,Fire,53.22770000000001,-119.9991,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
C50099,20160716.1557,Lightning,Fire,51.3677,-124.906,30.0,46.5,70.1,59.2,51.0,76.52,,5.8,,186.25,,0.01,633.3,0.0,1019.2,"['""""', '51.3677', '-124.906', '""51.3677', ' -124.906""', '""51.3677', ' -124.906""', '""""', '""Rain""\n']"
C40057,20060515.12,Person,Fire,51.7787,-120.975,3.4,50.1,78.9,61.7,36.5,43.96,,8.1,,,,0.0,8.7,2.0,1019.7,"['""""', '51.7787', '-120.975', '""51.7787', ' -120.975""', '""51.7787', ' -120.975""', '""""', '""Clear""\n']"
G90186,20100624.1733,Lightning,Fire,59.5602,-120.644,7.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']"
R20214,20100811.15,Lightning,Fire,54.1954,-127.1904,659.0,55.4,78.8,67.1,45.0,47.09,,18.3,26.4,312.29,,0.0,19.6,23.2,1015.5,"['""""', '54.1954', '-127.1904', '""54.1954', ' -127.1904""', '""54.1954', ' -127.1904""', '""""', '""Clear""\n']"
K50351,20120727.1849,Lightning,Fire,49.97360000000001,-119.4996,27.0,53.9,88.0,70.1,52.9,58.09,85.6,12.2,22.0,155.75,,0.32,8.6,18.5,1012.2,"['""Smoke Or Haze""', '49.97360000000001', '-119.4996', '""49.97360000000001', ' -119.4996""', '""49.97360000000001', ' -119.4996""', '""""', '""Rain""\n']"
G30777,20180621.1606,Lightning,Fire,52.6905,-118.5123,50.0,48.3,78.4,60.3,49.2,71.93,,9.2,27.5,246.5,,0.43,629.4,0.0,1013.0,"['""""', '52.6905', '-118.5123', '""52.6905', ' -118.5123""', '""52.6905', ' -118.5123""', '""""', '""Rain""\n']"
R40164,20040624.18,Lightning,Fire,55.69600000000001,-127.9609,3.0,,,,,,,,,,,0.0,,,,"['""""', '55.69600000000001', '-127.9609', '""55.69600000000001', ' -127.9609""', '""55.69600000000001', ' -127.9609""', '""No data available""', '""""\n']"
G70067,20160418.163,Person,Fire,56.0994,-120.6907,897.0,40.8,82.3,61.4,26.8,28.85,79.8,31.4,46.1,214.33,33.4,0.0,20.3,40.8,1012.3,"['""""', '56.0994', '-120.6907', '""56.0994', ' -120.6907""', '""56.0994', ' -120.6907""', '""""', '""Partially cloudy""\n']"
K30140,20030707.13,Person,Fire,50.7612,-119.7254,2.44,61.8,85.6,72.7,52.7,51.56,84.1,7.2,,243.13,,0.0,37.9,17.6,1005.2,"['""Lightning Without Thunder""', '50.7612', '-119.7254', '""50.7612', ' -119.7254""', '""50.7612', ' -119.7254""', '""""', '""Clear""\n']"
