FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
C10026,,1988,Person,1988-C10026,14.9,Buffered_Point,,20070517130645,19880510,buffered_point,JA70003000,,1704592,149543.8187,1441.094,,
C10049,,1988,Person,1988-C10049,117.4,inventory,,20070517130642,19880708,digitised,JA70003000,,1704593,1174703.5587,12044.5296,,
C10049,,1988,Person,1988-C10049,15.8,inventory,,20070517130642,19880708,digitised,JA70003000,,1704594,158913.6477,2034.1955,,
C10049,,1988,Person,1988-C10049,2.2,inventory,,20070517130642,19880708,digitised,JA70003000,,1704595,22284.2746,605.8342,,
C10065,,1988,Person,1988-C10065,12,Buffered_Point,,20070517130645,19880828,buffered_point,JA70003000,,1704596,120435.6071,1291.5981000000002,,
C10082,,1988,Person,1988-C10082,12.6,Buffered_Point,,20070517130645,19881002,buffered_point,JA70003000,,1704597,126486.3453,1323.5876,,
C20052,,1988,Person,1988-C20052,19.2,Buffered_Point,,20070517130645,19880801,buffered_point,JA70003000,,1704598,192610.5047,1627.6451000000002,,
G50012,,1986,Person,1986-G50012,31.1,inventory,,20070517130642,19860808,digitised,JA70003000,,1704332,311031.8693,3668.2084,,
G50012,,1986,Person,1986-G50012,3.6,inventory,,20070517130642,19860808,digitised,JA70003000,,1704333,36726.0735,1010.1593,,
G10088,,1987,Person,1987-G10088,18.8,mylars,,20070517130642,19871013,digitised,JA70003000,,1704449,188413.1854,2673.9010000000003,,
G20023,,1987,Person,1987-G20023,9.9,mylars,,20070517130642,19870616,digitised,JA70003000,,1704450,99350.6775,1457.3189,,
G20044,,1987,Lightning,1987-G20044,120.10000000000001,mylars,,20070517130642,19870701,digitised,JA70003000,,1704451,1201557.4251,4730.1648000000005,,
G20065,,1987,Lightning,1987-G20065,50.2,mylars,,20070517130642,19870701,digitised,JA70003000,,1704452,502803.292,2758.7244,,
G20082,,1987,Lightning,1987-G20082,29.3,mylars,,20070517130642,19870701,digitised,JA70003000,,1704453,293008.551,2164.4063,,
G20084,,1987,Lightning,1987-G20084,45.5,mylars,,20070517130653,19870701,digitised,JA70003000,,1704454,455905.764,3000.4002,,
G20084,,1987,Lightning,1987-G20084,12,mylars,,20070517130653,19870701,digitised,JA70003000,,1704455,120968.671,1408.662,,
G20150,,1987,Person,1987-G20150,45,inventory,,20070517130642,19870724,digitised,JA70003000,,1704456,450097.6605,4718.5559,,
N40021,,1988,Person,1988-N40021,16,Buffered_Point,,20070517130645,19880723,buffered_point,JA70003000,,1704660,160757.6945,1484.7587,,
N50003,,1988,Person,1988-N50003,27.3,Buffered_Point,,20070517130645,19880411,buffered_point,JA70003000,,1704661,273211.1109,1917.7577,,
N50067,,1988,Person,1988-N50067,10.700000000000001,inventory,,20070517130642,19881011,digitised,JA70003000,,1704662,107051.6416,2230.8319,,
N50067,,1988,Person,1988-N50067,20.1,inventory,,20070517130642,19881011,digitised,JA70003000,,1704663,201287.3815,2587.3834,,
N70031,,1988,Person,1988-N70031,20,Buffered_Point,,20070517130645,19880731,buffered_point,JA70003000,,1704664,200519.4462,1644.5942,,
R10007,,1988,Person,1988-R10007,46.4,Buffered_Point,,20070517130645,19880423,buffered_point,JA70003000,,1704665,464365.8892,2554.3978,,
N50101,,1985,Lightning,1985-N50101,87.3,mylars,,20070517130643,19850709,digitised,JA70003000,,1704214,873669.1724,6094.6497,,
N50103,,1985,Lightning,1985-N50103,215.4,mylars,,20070517130643,19850709,digitised,JA70003000,,1704215,2154361.6944,6451.7925000000005,,
N50105,,1985,Lightning,1985-N50105,35.300000000000004,mylars,,20070517130653,19850709,digitised,JA70003000,,1704216,353313.5774,2677.0759000000003,,
