,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V71307,20100922.1702,Person,Nuisance Fire,49.3665,-124.7943,0.0
G40008,20000411.14,Person,Smoke Chase,54.1167,-124.8667,0.0
V30691,20120904.123,Person,Nuisance Fire,50.4568,-122.3785,0.0
V30109,20040522.1058,Person,Nuisance Fire,50.53420000000001,-122.491,0.0
V50742,20110826.0852,Person,Nuisance Fire,50.3937,-124.6426,0.0
V60156,20080618.1649,Person,Nuisance Fire,48.42310000000001,-124.0396,0.0
N41089,20001017.1545,Person,Nuisance Fire,51.46,-116.9333,0.0
V10069,20150518.1822,Person,Nuisance Fire,49.2176,-121.6052,0.0
V30266,20090607.1531,Person,Nuisance Fire,49.7319,-122.3298,0.0
V30767,20110828.1344,Person,Nuisance Fire,49.8872,-123.1801,0.0
V11434,20090808.2113,Person,Nuisance Fire,49.3905,-121.397,0.0
V80528,20130810.0838,Person,Nuisance Fire,50.1386,-125.2126,0.0
V11192,20100904.1334,Person,Nuisance Fire,49.4177,-121.3151,0.0
V10193,20100620.1808,Person,Nuisance Fire,49.49950000000001,-121.841,0.0
V10023,20140516.1237,Person,Nuisance Fire,49.3853,-121.3165,0.0
V91472,20090813.2118,Person,Nuisance Fire,50.6,-127.1667,0.0
V10103,20100524.1454,Person,Nuisance Fire,49.5368,-121.762,0.0
V11807,20090924.1555,Person,Nuisance Fire,49.2353,-122.0113,0.0
V70338,20110710.1438,Person,Nuisance Fire,49.1932,-124.133,0.0
V10250,20130721.1443,Person,Nuisance Fire,49.0965,-121.9533,0.0
V70303,20040712.213,Person,Nuisance Fire,49.2147,-124.0862,0.0
V10399,20180526.1624,Person,Nuisance Fire,49.2376,-121.3863,0.0
V30287,20100704.1345,Person,Nuisance Fire,50.25530000000001,-122.8867,0.0
V10138,20110607.1709,Person,Nuisance Fire,49.1794,-121.75399999999999,0.0
R50082,20120804.213,Person,Nuisance Fire,54.6234,-128.7147,0.0
N50546,20020915.1543,Person,Nuisance Fire,49.3167,-117.65,0.0
V61448,20090810.0813,Person,Nuisance Fire,48.63520000000001,-124.3035,0.0
V70047,20110521.1253,Person,Nuisance Fire,49.2726,-124.1943,0.0
V70115,20080530.14,Person,Nuisance Fire,49.3856,-124.5901,0.0
V10538,20140914.1739,Person,Nuisance Fire,49.08750000000001,-121.6986,0.0
V60010,20080415.1849,Person,Nuisance Fire,48.7663,-123.611,0.0
V50718,20100731.2049,Person,Nuisance Fire,49.9157,-124.6449,0.0
V10500,20090628.1709,Person,Nuisance Fire,50.0094,-121.669,0.0
V70345,20090612.1342,Person,Nuisance Fire,49.1936,-124.1315,0.0
V10200,20160713.1357,Unknown,Other,49.7633,-121.8602,0.0
C20584,20180620.1332,Unknown,Smoke Chase,51.8718,-122.8064,0.0
V30272,20140718.1336,Person,Nuisance Fire,49.8138,-123.2099,0.0
V30011,20140428.1116,Unknown,Other,50.5343,-123.0762,0.0
V70655,20080909.1809,Person,Nuisance Fire,49.0459,-124.1055,0.0
V12147,20170916.1341,Person,Nuisance Fire,49.1259,-121.5807,0.0
K50034,20090416.22,Unknown,Other,49.3187,-119.667,0.0
V10536,20090701.1504,Person,Nuisance Fire,49.5183,-121.7672,0.0
V80141,20140630.1204,Person,Nuisance Fire,49.7457,-126.0729,0.0
V10188,20080628.1845,Person,Nuisance Fire,49.48,-121.21,0.0
V71843,20200315.205417,Unknown,Nuisance Fire,49.131,-123.9697,0.0
N10568,20080810.133,Person,Nuisance Fire,49.2253,-115.2213,0.0
V10524,20110802.0928,Person,Nuisance Fire,49.0565,-122.1987,0.0
V50247,20040625.2018,Unknown,Nuisance Fire,49.8167,-124.1667,0.0
V10419,20180527.1444,Person,Nuisance Fire,49.4737,-122.0004,0.0
V10395,20090614.1615,Person,Nuisance Fire,49.4952,-121.2249,0.0
V11213,20100905.1519,Person,Nuisance Fire,49.4787,-121.2493,0.0
V70462,20040805.2053,Person,Nuisance Fire,49.03420000000001,-123.9069,0.0
V60011,20150503.1545,Person,Nuisance Fire,48.6437,-123.7357,0.0
V10955,20110910.1724,Person,Nuisance Fire,49.08490000000001,-121.68299999999999,0.0
V10280,20090607.1809,Person,Nuisance Fire,49.5133,-121.7676,0.0
V10078,20100523.1334,Person,Nuisance Fire,49.08340000000001,-121.7697,0.0
V60226,20070720.0454,Person,Nuisance Fire,48.65,-123.62,0.0
V70589,20100726.0606,Person,Nuisance Fire,49.2854,-124.5902,0.0
V10443,20090621.1631,Person,Nuisance Fire,49.9894,-121.7625,0.0
V11153,20100829.1724,Person,Nuisance Fire,49.07530000000001,-121.7704,0.0
V11024,20110917.1324,Person,Nuisance Fire,49.1065,-121.6392,0.0
V11203,20100905.1216,Person,Nuisance Fire,49.308,-123.3258,0.0
V10445,20110728.1732,Person,Nuisance Fire,49.08320000000001,-121.9788,0.0
V10426,20040730.2044,Person,Nuisance Fire,49.30750000000001,-122.762,0.0
V10253,20050809.1249,Person,Nuisance Fire,49.08320000000001,-122.0027,0.0
V71105,20100826.1512,Person,Nuisance Fire,49.4969,-124.9433,0.0
V50040,20140519.1618,Person,Nuisance Fire,49.8159,-124.3029,0.0
N50031,20000522.12,Person,Nuisance Fire,49.02670000000001,-117.3786,0.0
V90666,20120903.1547,Person,Nuisance Fire,50.2163,-126.9523,0.0
G10652,20170707.1508,Unknown,Smoke Chase,54.3051,-121.8601,0.0
V11238,20090731.2333,Person,Nuisance Fire,49.16370000000001,-122.6245,0.0
V50901,20121007.1335,Person,Nuisance Fire,49.7828,-124.1906,0.0
V31277,20170722.172,Person,Nuisance Fire,51.02030000000001,-122.4705,0.0
V11515,20170802.1535,Person,Nuisance Fire,50.0048,-121.7266,0.0
V60083,20070607.1258,Person,Nuisance Fire,48.641999999999996,-123.5575,0.0
V10171,20140706.1508,Person,Nuisance Fire,49.5734,-121.8167,0.0
