,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
V10366,20070820.1348,Person,Nuisance Fire,49.18,-121.73,0.0
V10080,20040513.0715,Unknown,Nuisance Fire,49.567,-121.4071,0.0
G70149,20060511.182,Person,Nuisance Fire,55.6824,-121.6728,0.0
V11281,20100913.002,Person,Nuisance Fire,49.4434,-121.4535,0.0
V10560,20110807.171,Person,Nuisance Fire,50.0016,-121.5694,0.0
V80654,20090706.1739,Person,Nuisance Fire,49.895,-125.6456,0.0
V60298,20090610.1319,Person,Nuisance Fire,48.9601,-123.7618,0.0
N20424,20100808.18,Person,Nuisance Fire,50.5104,-116.0285,0.0
V30020,20030514.133,Person,Nuisance Fire,49.7733,-123.165,0.0
V70440,20110727.2209,Person,Nuisance Fire,49.4108,-124.6899,0.0
V30917,20090724.2046,Person,Nuisance Fire,50.56330000000001,-122.1648,0.0
K72048,20081023.0318,Person,Nuisance Fire,50.2612,-121.3901,0.0
V50496,20140904.1645,Person,Nuisance Fire,49.5332,-123.8383,0.0
G31133,20170716.1406,Unknown,Smoke Chase,52.6418,-119.124,0.0
V10458,20110730.1349,Person,Nuisance Fire,49.0763,-121.7711,0.0
V50196,20120728.1636,Person,Nuisance Fire,49.306,-124.2975,0.0
R13153,20181025.1312,Person,Fire,54.1463,-125.3846,0.0
V10548,20120826.1344,Person,Nuisance Fire,49.2229,-121.6037,0.0
V10708,20100731.1934,Person,Nuisance Fire,49.3881,-121.3172,0.0
V70273,20000814.2224,Person,Nuisance Fire,49.21870000000001,-125.087,0.0
V50827,20100803.2312,Person,Nuisance Fire,49.7627,-123.9057,0.0
V10604,20100726.235,Person,Nuisance Fire,49.0979,-121.8888,0.0
G10263,20080725.1355,Person,Nuisance Fire,53.6375,-122.9684,0.0
G40249,20000731.185,Lightning,Smoke Chase,54.046200000000006,-124.6525,0.0
N10628,20080816.1323,Person,Nuisance Fire,49.2547,-115.2972,0.0
V60079,20010705.1053,Person,Nuisance Fire,48.475,-123.4831,0.0
V70215,20130715.1345,Person,Nuisance Fire,49.3926,-124.6038,0.0
V70924,20100810.1054,Person,Nuisance Fire,49.303999999999995,-124.4315,0.0
V10049,20120520.155,Person,Nuisance Fire,49.6917,-121.8608,0.0
V12894,20180825.1147,Person,Nuisance Fire,53.58750000000001,-131.93970000000002,0.0
V60266,20070731.1706,Person,Nuisance Fire,48.3719,-123.6463,0.0
V70681,20110820.2027,Person,Nuisance Fire,48.9959,-123.818,0.0
V70103,20000716.1422,Person,Nuisance Fire,49.35,-124.6167,0.0
N10421,20080804.0807,Person,Nuisance Fire,49.2683,-115.2942,0.0
V10551,20120826.1425,Person,Nuisance Fire,49.518,-121.7672,0.0
R20188,20090803.0859,Person,Nuisance Fire,54.5137,-126.7651,0.0
V11155,20100829.1839,Person,Nuisance Fire,49.4489,-121.84899999999999,0.0
V80006,20040407.0115,Unknown,Nuisance Fire,49.6553,-124.992,0.0
V80870,20100806.114,Person,Nuisance Fire,49.9409,-125.5966,0.0
V10572,20130813.1816,Unknown,Duplicate,49.2755,-121.9596,0.0
V12832,20180821.1613,Person,Nuisance Fire,49.5903,-121.1669,0.0
V92460,20180810.18,Lightning,Fire,50.3502,-127.1371,0.0
V60007,20100416.2116,Person,Nuisance Fire,48.7778,-123.8186,0.0
V10076,20160523.1636,Person,Nuisance Fire,49.0891,-121.6862,0.0
N10544,20020914.1851,Unknown,Nuisance Fire,49.6053,-115.8592,0.0
V81302,20100922.1203,Person,Nuisance Fire,50.5089,-125.9724,0.0
K21044,20010521.113,Person,Nuisance Fire,50.8372,-120.0407,0.0
G40933,20170709.1729,Unknown,Smoke Chase,54.1788,-124.6255,0.0
V10484,20040811.1048,Unknown,Nuisance Fire,49.4831,-121.1925,0.0
V60470,20020826.2012,Person,Nuisance Fire,48.91670000000001,-123.75,0.0
V70101,20080526.085,Person,Nuisance Fire,49.12130000000001,-124.068,0.0
V61566,20090821.1202,Person,Nuisance Fire,48.8876,-123.6758,0.0
V30055,20120520.1716,Person,Nuisance Fire,50.1873,-122.4687,0.0
V70289,20080714.18,Person,Nuisance Fire,49.303,-124.4398,0.0
V11661,20090829.2141,Person,Nuisance Fire,49.2977,-122.2355,0.0
V70008,20070501.122,Person,Nuisance Fire,49.27500000000001,-124.8333,0.0
R50032,20120714.153,Person,Nuisance Fire,54.1095,-128.6074,0.0
N60208,20140727.151,Person,Nuisance Fire,49.6048,-119.0868,0.0
V70568,20141003.0807,Person,Nuisance Fire,49.10780000000001,-123.8698,0.0
R50054,20030611.16,Person,Smoke Chase,54.0833,-128.63330000000002,0.0
G40040,20130506.1457,Person,Nuisance Fire,54.0773,-124.9936,0.0
V70150,20010715.1541,Person,Nuisance Fire,49.0724,-123.984,0.0
V10427,20130803.2041,Person,Nuisance Fire,49.4365,-121.8403,0.0
V70055,20040502.1507,Unknown,Nuisance Fire,49.2817,-125.2916,0.0
N10052,20140623.1031,Person,Nuisance Fire,49.4528,-115.6729,0.0
V10251,20130721.1445,Person,Nuisance Fire,49.3053,-121.6219,0.0
V10471,20160904.1655,Person,Nuisance Fire,49.2275,-121.6053,0.0
V70240,20110627.2251,Person,Nuisance Fire,49.24,-124.68,0.0
V70247,20110701.1026,Person,Nuisance Fire,49.3038,-124.8435,0.0
V10109,20160605.1419,Person,Nuisance Fire,49.2173,-121.6062,0.0
V31364,20090804.1141,Person,Nuisance Fire,49.8353,-123.1851,0.0
V80224,20090602.2008,Person,Nuisance Fire,49.9853,-125.3429,0.0
V70108,20150529.2209,Person,Nuisance Fire,49.3485,-124.5038,0.0
V50230,20150627.2305,Person,Nuisance Fire,49.51320000000001,-123.8155,0.0
R80057,20010811.1038,Person,Nuisance Fire,53.8276,-130.251,0.0
V30553,20120826.1453,Person,Nuisance Fire,50.1237,-123.3983,0.0
V90568,20170703.1802,Person,Nuisance Fire,49.1864,-125.6247,0.0
V31191,20180715.1607,Person,Nuisance Fire,50.1184,-123.3939,0.0
V70360,20110711.1334,Person,Nuisance Fire,49.34,-124.43,0.0
V10233,20180518.145,Person,Nuisance Fire,49.4469,-121.2712,0.0
V80015,20180416.12,Person,Nuisance Fire,50.0375,-125.3536,0.0
V60447,20110728.2238,Person,Nuisance Fire,48.4252,-124.064,0.0
V70700,20080917.1814,Person,Nuisance Fire,49.1784,-125.9081,0.0
V10461,20100718.1408,Person,Nuisance Fire,49.5181,-121.7676,0.0
V10121,20090517.1715,Person,Nuisance Fire,49.5358,-121.8731,0.0
V70038,20010528.1719,Person,Nuisance Fire,49.2633,-124.229,0.0
V50178,20000801.2106,Unknown,Smoke Chase,49.8834,-124.5064,0.0
V10077,20110523.1955,Person,Nuisance Fire,49.2331,-121.7575,0.0
V10407,20130803.1711,Person,Nuisance Fire,49.692,-121.861,0.0
V80616,20090705.22,Lightning,Duplicate,49.9983,-125.9545,0.0
V60408,20080802.1255,Person,Nuisance Fire,48.9356,-123.8011,0.0
V30146,20090518.1954,Person,Nuisance Fire,50.0078,-123.3268,0.0
V70542,20090701.2216,Person,Nuisance Fire,49.3738,-125.0599,0.0
V50392,20100711.1852,Person,Nuisance Fire,49.94410000000001,-124.3141,0.0
V70265,20150703.1502,Person,Nuisance Fire,49.23690000000001,-124.0544,0.0
N40508,20140831.1847,Person,Nuisance Fire,51.7006,-117.5469,0.0
V70130,20110605.1716,Person,Nuisance Fire,49.0947,-124.5136,0.0
V60300,20070805.2218,Person,Nuisance Fire,49.02650000000001,-123.9107,0.0
R10089,20090703.1347,Person,Nuisance Fire,54.3823,-125.9653,0.0
V30205,20140713.1252,Person,Nuisance Fire,50.3513,-122.7282,0.0
V70353,20011001.1207,Person,Nuisance Fire,49.35,-124.467,0.0
V11663,20090829.222,Person,Nuisance Fire,49.1056,-121.5322,0.0
R20031,20080614.2204,Person,Nuisance Fire,54.4516,-126.6632,0.0
G61575,20170806.1031,Unknown,Smoke Chase,55.5441,-124.7294,0.0
G80346,20080809.19,Lightning,Duplicate,56.733700000000006,-120.1437,0.0
VA0515,20130808.1438,Person,Nuisance Fire,52.3463,-126.8113,0.0
V10021,20030514.2135,Person,Nuisance Fire,49.3202,-121.807,0.0
G90311,20180521.1554,Lightning,Duplicate,58.6308,-123.5647,0.0
V60290,20180520.2225,Person,Nuisance Fire,48.5668,-123.6,0.0
R50075,20060630.2,Person,Nuisance Fire,54.4932,-128.5061,0.0
V30618,20120902.1446,Person,Nuisance Fire,50.2489,-123.5817,0.0
V10983,20100815.1358,Person,Nuisance Fire,49.3864,-121.319,0.0
V70280,20050813.1654,Person,Nuisance Fire,49.353,-124.7509,0.0
V70752,20110827.1413,Person,Nuisance Fire,48.92930000000001,-123.6322,0.0
V50466,20150910.1328,Person,Nuisance Fire,49.80710000000001,-124.355,0.0
V12146,20170916.1222,Person,Nuisance Fire,49.0899,-121.6853,0.0
V51031,20180705.213,Unknown,Smoke Chase,49.7837,-123.8661,0.0
V70145,20110611.1342,Person,Nuisance Fire,49.0551,-123.7613,0.0
V10473,20070918.0924,Person,Nuisance Fire,49.1128,-120.8604,0.0
G70721,20060904.1444,Person,Nuisance Fire,56.1364,-120.7038,0.0
G50679,20180620.2148,Unknown,Smoke Chase,54.5722,-124.1361,0.0
G41983,20170831.1532,Lightning,Duplicate,54.18190000000001,-125.0951,0.0
V50157,20130707.1506,Person,Nuisance Fire,49.9568,-124.3535,0.0
V10517,20080815.1604,Person,Nuisance Fire,49.17890000000001,-121.6793,0.0
V70613,20100727.1522,Person,Nuisance Fire,49.1819,-123.9659,0.0
V10902,20090724.1204,Person,Nuisance Fire,49.1863,-122.0858,0.0
V80545,20090702.0033,Person,Nuisance Fire,49.6413,-125.0943,0.0
G50215,20170530.1634,Unknown,Smoke Chase,55.1066,-125.7724,0.0
V80455,20070912.0718,Person,Nuisance Fire,49.6321,-125.0143,0.0
V11005,20100817.133,Person,Nuisance Fire,49.07720000000001,-122.6322,0.0
N10210,20090714.1009,Person,Nuisance Fire,49.4927,-115.6849,0.0
V80663,20090703.09,Person,Nuisance Fire,50.28,-125.51,0.0
V10420,20110724.1735,Person,Nuisance Fire,49.13820000000001,-122.7252,0.0
V10065,20120521.1341,Person,Nuisance Fire,49.4539,-121.8568,0.0
V60282,20070803.1,Person,Nuisance Fire,49.01,-125.0,0.0
V60143,20030701.2128,Person,Nuisance Fire,48.6085,-123.5379,0.0
V10716,20040831.18,Person,Nuisance Fire,49.66670000000001,-121.5,0.0
V30139,20110608.1359,Person,Nuisance Fire,49.8139,-123.11399999999999,0.0
V10470,20160904.1651,Person,Nuisance Fire,49.0959,-121.6725,0.0
V10211,20130714.1712,Person,Nuisance Fire,49.5737,-121.8176,0.0
V80547,20140916.1351,Person,Nuisance Fire,49.669,-125.1396,0.0
V60624,20130822.1704,Person,Nuisance Fire,48.9765,-123.6435,0.0
V10383,20100711.1615,Person,Nuisance Fire,49.2184,-121.3811,0.0
V10061,20100517.1855,Person,Duplicate,49.07700000000001,-121.757,0.0
G31368,20170726.1251,Unknown,Smoke Chase,52.7107,-119.3973,0.0
V61512,20090816.133,Person,Nuisance Fire,48.5029,-123.9534,0.0
G10245,20000731.08,Person,Nuisance Fire,54.0108,-122.9272,0.0
V10832,20120923.1656,Person,Nuisance Fire,49.5104,-121.76799999999999,0.0
V50343,20120812.1704,Person,Nuisance Fire,49.7317,-123.9666,0.0
V30253,20120806.1741,Person,Nuisance Fire,50.1225,-123.3933,0.0
V10558,20120826.1656,Person,Nuisance Fire,49.1004,-121.6274,0.0
G80385,20170625.1627,Unknown,Smoke Chase,57.5061,-122.9208,0.0
V13026,20180816.175,Person,Nuisance Fire,49.0813,-121.9197,0.0
V10798,20120916.1746,Person,Nuisance Fire,49.426,-121.7802,0.0
G80001,20190331.1703,Unknown,Smoke Chase,56.30860000000001,-121.0857,0.0
V10029,20140519.1411,Person,Nuisance Fire,49.08750000000001,-121.6892,0.0
V10345,20100708.1738,Person,Nuisance Fire,49.1456,-122.3155,0.0
V70728,20110822.1748,Person,Nuisance Fire,49.2427,-124.6692,0.0
V70014,20050423.2219,Person,Nuisance Fire,49.4,-124.6333,0.0
V80519,20100722.1527,Person,Nuisance Fire,50.111,-125.4232,0.0
C42517,20180811.1745,Unknown,Smoke Chase,51.6075,-121.1486,0.0
V33104,20181008.0905,Person,Nuisance Fire,50.1679,-122.8755,0.0
V70381,20090614.0842,Person,Nuisance Fire,49.291,-124.2108,0.0
V10697,20120906.0636,Person,Other,49.3,-121.9,0.0
V10153,20090518.1735,Person,Nuisance Fire,49.535,-121.8832,0.0
V70464,20150906.1743,Person,Nuisance Fire,49.3969,-124.9488,0.0
V11381,20090805.1316,Person,Nuisance Fire,49.3304,-122.9002,0.0
V10241,20090606.1308,Person,Nuisance Fire,49.3834,-121.3171,0.0
V10741,20120909.1354,Person,Nuisance Fire,49.5166,-121.7678,0.0
C30892,20170707.1532,Lightning,Fire,52.5243,-121.7586,0.0
V11061,20100821.2127,Person,Nuisance Fire,49.04040000000001,-121.987,0.0
V30375,20090613.2236,Person,Nuisance Fire,49.9496,-123.1639,0.0
K30035,20090416.2129,Unknown,Other,50.8412,-118.9873,0.0
V11032,20110918.1551,Person,Nuisance Fire,49.5103,-121.7679,0.0
V51716,20090903.1202,Person,Nuisance Fire,49.73,-123.96,0.0
V11182,20180715.14,Person,Nuisance Fire,49.4404,-121.7809,0.0
V10350,20070815.1303,Person,Nuisance Fire,49.1308,-120.6298,0.0
V51042,20100820.224,Person,Nuisance Fire,49.5439,-123.429,0.0
V10632,20080905.1822,Person,Nuisance Fire,49.5985,-121.1427,0.0
K71435,20070903.1323,Person,Nuisance Fire,50.9115,-122.7798,0.0
V70009,20040409.1155,Person,Nuisance Fire,49.218999999999994,-124.0455,0.0
V30954,20110910.164,Person,Nuisance Fire,49.7315,-122.3301,0.0
V50265,20130721.1847,Person,Nuisance Fire,49.945,-124.3151,0.0
V30507,20110801.162,Person,Nuisance Fire,56.3518,-122.7276,0.0
V10418,20110724.1618,Person,Nuisance Fire,49.63220000000001,-121.9691,0.0
N60115,20020713.1144,Person,Nuisance Fire,49.05,-118.5383,0.0
V60083,20140611.1624,Person,Nuisance Fire,48.9465,-123.7945,0.0
V50428,20100715.2224,Person,Nuisance Fire,49.6172,-124.0208,0.0
V10385,20150804.1502,Unknown,Duplicate,49.60120000000001,-121.0761,0.0
N20069,20100704.17,Person,Nuisance Fire,50.1835,-115.2763,0.0
V10617,20120902.1433,Person,Nuisance Fire,49.4763,-121.764,0.0
V30285,20140720.1401,Person,Nuisance Fire,50.56399999999999,-122.5861,0.0
V30098,20100524.143,Person,Nuisance Fire,50.22660000000001,-122.9128,0.0
V11191,20090731.1114,Lightning,Duplicate,49.8582,-121.1697,0.0
C50660,20170707.1443,Lightning,Fire,51.9568,-125.0382,0.0
V10970,20090725.2119,Lightning,Duplicate,49.3903,-122.2559,0.0
R10157,20160319.1307,Person,Smoke Chase,54.2117,-125.62,0.0
V90613,20120902.1402,Person,Nuisance Fire,50.3,-126.9167,0.0
V10901,20090724.1004,Person,Nuisance Fire,49.3359,-123.2674,0.0
V10156,20020710.1346,Person,Nuisance Fire,49.0667,-121.6833,0.0
V70588,20130816.145,Person,Nuisance Fire,49.4,-125.1333,0.0
V70545,20110806.1601,Person,Nuisance Fire,49.2773,-124.4167,0.0
V70333,20100706.1949,Person,Nuisance Fire,49.3107,-124.51,0.0
V60358,20110711.124,Person,Nuisance Fire,48.73110000000001,-123.5969,0.0
K21023,20010624.131,Person,Nuisance Fire,51.0375,-120.1344,0.0
V10833,20120923.1657,Person,Nuisance Fire,49.0985,-121.6712,0.0
V10654,20130831.1609,Person,Nuisance Fire,49.0912,-121.5834,0.0
K71396,20070902.1139,Person,Nuisance Fire,50.8378,-122.4423,0.0
V10484,20160905.1431,Person,Nuisance Fire,49.5739,-121.8177,0.0
G80326,20170616.1853,Unknown,Smoke Chase,56.613,-121.1879,0.0
V30246,20100701.1714,Person,Nuisance Fire,50.6161,-123.3919,0.0
V70484,20070923.2057,Person,Nuisance Fire,49.1452,-124.0205,0.0
G90423,20120821.1259,Lightning,Nuisance Fire,58.99500000000001,-127.435,0.0
V10729,20110822.2247,Person,Nuisance Fire,49.6139,-121.412,0.0
V31252,20090801.1252,Lightning,Duplicate,50.545,-123.5874,0.0
V10170,20140706.1418,Person,Nuisance Fire,49.4801,-121.2506,0.0
V61174,20100901.1047,Person,Nuisance Fire,48.5846,-124.3533,0.0
V10472,20130805.1734,Person,Nuisance Fire,49.5948,-121.9264,0.0
V10377,20160814.1445,Person,Nuisance Fire,49.5163,-121.7677,0.0
V31602,20090823.1822,Person,Nuisance Fire,49.95,-123.08,0.0
V70619,20100728.0715,Person,Nuisance Fire,49.3098,-124.5189,0.0
V10421,20100715.0723,Person,Other,49.23730000000001,-120.9159,0.0
V71246,20100908.1531,Person,Nuisance Fire,49.2811,-124.9836,0.0
V70480,20070921.1926,Person,Nuisance Fire,49.3184,-124.8587,0.0
V10070,20100522.0154,Person,Other,49.52370000000001,-121.7638,0.0
V10385,20100711.1704,Person,Nuisance Fire,50.0041,-121.6014,0.0
K41376,20070901.0827,Person,Nuisance Fire,50.2201,-119.2846,0.0
V10369,20120816.1038,Person,Nuisance Fire,49.43230000000001,-121.3086,0.0
K71405,20070902.1411,Person,Nuisance Fire,50.9421,-122.775,0.0
V10267,20090607.1545,Person,Nuisance Fire,49.4298,-121.8733,0.0
V11006,20090726.2258,Unknown,Nuisance Fire,49.36080000000001,-121.5947,0.0
V30229,20120806.1258,Person,Nuisance Fire,49.93960000000001,-123.1857,0.0
V10289,20100704.1407,Person,Nuisance Fire,49.2228,-121.6056,0.0
V60690,20090711.1658,Person,Nuisance Fire,48.54640000000001,-123.5663,0.0
C20752,20170707.1459,Lightning,Fire,52.0581,-122.8154,0.0
V30327,20130729.1353,Person,Nuisance Fire,50.2269,-122.4738,0.0
V10289,20030801.0515,Person,Nuisance Fire,49.4822,-121.2509,0.0
V50033,20110513.0841,Person,Other,49.51,-123.95,0.0
V70013,20100422.1207,Person,Nuisance Fire,49.45840000000001,-124.807,0.0
R10131,20090725.1937,Person,Nuisance Fire,54.10310000000001,-125.2498,0.0
V11208,20100905.1305,Person,Nuisance Fire,49.5258,-121.8596,0.0
N20132,20110718.2122,Person,Nuisance Fire,51.06310000000001,-116.6807,0.0
V71284,20100913.2014,Person,Nuisance Fire,49.3063,-124.4032,0.0
G10143,20070712.1,Lightning,Duplicate,54.818999999999996,-123.2037,0.0
G80192,20000705.1909,Person,Smoke Chase,57.12580000000001,-122.6479,0.0
V60996,20110912.1032,Person,Nuisance Fire,48.5092,-123.5713,0.0
V70258,20140716.072,Person,Nuisance Fire,49.2096,-124.7616,0.0
V80564,20100724.2201,Person,Nuisance Fire,49.8705,-125.1158,0.0
V30402,20140816.1702,Person,Nuisance Fire,50.2639,-122.51899999999999,0.0
C20267,20090705.1619,Person,Nuisance Fire,52.05,-122.36,0.0
V10049,20130520.142,Person,Nuisance Fire,49.0901,-121.7839,0.0
V30390,20160814.2006,Person,Nuisance Fire,49.8343,-123.1862,0.0
V10247,20120806.1602,Person,Nuisance Fire,49.6332,-121.9712,0.0
K21027,20010609.163,Person,Nuisance Fire,50.7071,-121.234,0.0
V90319,20140802.0751,Person,Nuisance Fire,50.4649,-127.7955,0.0
V90107,20070618.2021,Person,Nuisance Fire,50.63950000000001,-127.0106,0.0
V60574,20090704.1816,Person,Nuisance Fire,48.9238,-124.4768,0.0
V10262,20100702.2229,Person,Nuisance Fire,49.37880000000001,-121.3448,0.0
N10332,20090724.2003,Person,Nuisance Fire,49.3721,-115.8488,0.0
V10948,20100813.184,Person,Nuisance Fire,49.31630000000001,-121.2759,0.0
V30935,20110907.1535,Person,Nuisance Fire,49.8548,-123.0467,0.0
K70738,20090718.1433,Person,Nuisance Fire,50.5317,-122.1539,0.0
V60211,20100625.1252,Person,Nuisance Fire,48.76470000000001,-123.6962,0.0
V10795,20081205.2241,Person,Nuisance Fire,49.2942,-122.3285,0.0
V10396,20130803.1328,Person,Nuisance Fire,49.41540000000001,-121.7902,0.0
R10077,20120804.1847,Person,Nuisance Fire,53.8949,-125.8644,0.0
VA0332,20070811.1444,Person,Nuisance Fire,52.3986,-126.4925,0.0
N10423,20080803.212,Person,Nuisance Fire,49.32530000000001,-115.3535,0.0
V70401,20070829.2144,Person,Nuisance Fire,49.1171,-123.7943,0.0
V30920,20121008.122,Person,Nuisance Fire,50.512,-122.6685,0.0
V61758,20090910.121,Person,Nuisance Fire,48.54680000000001,-123.59899999999999,0.0
V10334,20160807.1743,Person,Nuisance Fire,49.09200000000001,-121.6133,0.0
V10572,20110808.132,Person,Nuisance Fire,49.7428,-121.4202,0.0
V50521,20110801.1824,Person,Other,49.91070000000001,-124.3339,0.0
V70592,20110812.1934,Person,Nuisance Fire,49.3192,-124.3008,0.0
V10479,20160905.1321,Person,Nuisance Fire,49.10310000000001,-121.825,0.0
V70146,20040607.0759,Person,Nuisance Fire,49.2988,-124.3252,0.0
V30322,20180521.1721,Person,Nuisance Fire,50.1218,-123.3982,0.0
V10184,20100620.1356,Person,Nuisance Fire,49.2976,-122.3324,0.0
V10429,20070902.175,Person,Nuisance Fire,49.2312,-122.0541,0.0
V10376,20100711.15,Person,Nuisance Fire,49.24780000000001,-121.6028,0.0
V70431,20100716.1641,Person,Nuisance Fire,49.25210000000001,-124.1236,0.0
V10898,20100807.1748,Person,Nuisance Fire,49.12600000000001,-121.5808,0.0
V70163,20030708.1551,Person,Nuisance Fire,49.2768,-124.13,0.0
V10097,20120628.1554,Person,Nuisance Fire,49.1028,-121.6245,0.0
V10260,20090607.1419,Person,Nuisance Fire,49.2462,-121.6032,0.0
N52558,20180811.1257,Lightning,Duplicate,50.3036,-117.7776,0.0
V50029,20100507.17,Person,Nuisance Fire,49.51470000000001,-123.3022,0.0
V70227,20010729.2034,Person,Nuisance Fire,49.3981,-124.9475,0.0
V50518,20080815.1752,Person,Nuisance Fire,49.8799,-124.6511,0.0
V70040,20100513.1101,Person,Nuisance Fire,49.30260000000001,-124.5735,0.0
N60451,20080805.1953,Person,Nuisance Fire,49.0623,-119.0031,0.0
V10982,20090726.0108,Person,Nuisance Fire,49.37150000000001,-121.3654,0.0
V30038,20120519.1626,Person,Nuisance Fire,50.2595,-122.5185,0.0
V60034,20110514.0401,Person,Nuisance Fire,48.4279,-124.0594,0.0
V11225,20090731.2338,Person,Nuisance Fire,49.0945,-121.4756,0.0
V70246,20050808.152,Person,Nuisance Fire,49.2775,-124.1724,0.0
V50187,20080628.1014,Person,Nuisance Fire,49.52070000000001,-123.898,0.0
V10451,20070911.132,Person,Nuisance Fire,49.0384,-122.2191,0.0
V10740,20100801.1401,Person,Nuisance Fire,49.2696,-122.3639,0.0
G10060,20020519.08,Person,Nuisance Fire,54.99100000000001,-123.0415,0.0
R50162,20120819.1738,Person,Nuisance Fire,54.7,-128.7834,0.0
V11344,20090803.1339,Person,Nuisance Fire,49.0769,-121.8738,0.0
R50174,20090801.1028,Person,Nuisance Fire,54.3967,-129.1,0.0
V31327,20090802.1948,Lightning,Duplicate,50.58900000000001,-122.8773,0.0
V92735,20180817.1416,Lightning,Duplicate,50.3998,-127.4475,0.0
V10687,20130914.1403,Person,Nuisance Fire,49.12130000000001,-121.6069,0.0
V10681,20100731.153,Person,Nuisance Fire,49.5212,-121.7676,0.0
C40628,20090906.1841,Person,Nuisance Fire,51.5673,-121.1505,0.0
V60887,20100807.1034,Person,Nuisance Fire,48.82230000000001,-125.133,0.0
V10115,20090517.1928,Person,Nuisance Fire,49.57720000000001,-121.8255,0.0
V90209,20120804.2123,Person,Nuisance Fire,50.36680000000001,-126.9748,0.0
V30400,20180526.1742,Person,Nuisance Fire,49.94260000000001,-123.3078,0.0
V50701,20090712.135,Person,Nuisance Fire,49.785,-124.1792,0.0
V70593,20130817.1406,Person,Nuisance Fire,49.2626,-124.1934,0.0
G50787,20170707.2151,Unknown,Smoke Chase,54.677,-125.1091,0.0
V70085,20080522.082,Person,Nuisance Fire,49.333999999999996,-124.5262,0.0
V10103,20070618.081,Person,Nuisance Fire,49.37150000000001,-122.6913,0.0
V70637,20080906.1858,Person,Nuisance Fire,49.35,-124.4487,0.0
V10981,20090726.0002,Lightning,Nuisance Fire,49.6835,-120.8948,0.0
R40135,20090728.204,Person,Nuisance Fire,55.2667,-127.55,0.0
C20084,20090511.2136,Lightning,Fire,52.0748,-122.9018,0.0
V30533,20110804.1631,Person,Nuisance Fire,49.83150000000001,-122.3301,0.0
V10753,20131030.1402,Person,Nuisance Fire,49.0765,-121.7818,0.0
V10120,20070625.1654,Person,Nuisance Fire,49.5585,-121.1946,0.0
V70158,20100612.2138,Person,Nuisance Fire,49.1145,-123.9333,0.0
V10297,20180521.134,Person,Nuisance Fire,49.0898,-121.6905,0.0
V61617,20090824.2017,Person,Nuisance Fire,48.9142,-124.3414,0.0
V10726,20100801.0001,Person,Nuisance Fire,49.4376,-121.2926,0.0
V11510,20090816.1128,Person,Nuisance Fire,49.2935,-122.6446,0.0
V80055,20080514.0912,Person,Nuisance Fire,50.1207,-125.3873,0.0
V30425,20070901.1545,Person,Nuisance Fire,50.31,-122.6,0.0
V70289,20110703.1834,Person,Nuisance Fire,48.85,-125.11,0.0
K60312,20070603.1655,Person,Nuisance Fire,49.80240000000001,-121.0045,0.0
V70508,20110801.1642,Person,Nuisance Fire,49.4583,-125.1083,0.0
V11179,20090730.1736,Lightning,Duplicate,49.8633,-121.2015,0.0
N50032,20000522.18,Person,Nuisance Fire,49.0658,-117.3971,0.0
V70599,20080826.1921,Person,Nuisance Fire,49.3395,-124.375,0.0
V30360,20170624.1217,Person,Nuisance Fire,49.744,-123.079,0.0
V11053,20100821.1734,Person,Nuisance Fire,49.2375,-121.6035,0.0
V70157,20090519.1756,Person,Nuisance Fire,49.3059,-124.3261,0.0
V11836,20091005.0736,Person,Nuisance Fire,49.28310000000001,-121.6297,0.0
V30565,20100724.2247,Person,Nuisance Fire,49.71910000000001,-123.135,0.0
V90401,20040727.07,Unknown,Nuisance Fire,50.55,-125.35,0.0
G10750,20170707.1944,Lightning,Duplicate,53.7527,-123.054,0.0
V10331,20180521.1815,Person,Nuisance Fire,49.2317,-121.604,0.0
G10755,20170707.1956,Unknown,Smoke Chase,53.5644,-121.7098,0.0
V70296,20040711.1725,Person,Nuisance Fire,49.13330000000001,-123.7833,0.0
V10206,20090531.1506,Person,Nuisance Fire,49.5743,-121.8211,0.0
V10077,20160523.1752,Person,Nuisance Fire,49.09,-121.7878,0.0
V10586,20080821.2012,Person,Nuisance Fire,49.3261,-122.2799,0.0
V11514,20090816.1526,Person,Nuisance Fire,49.5365,-121.7616,0.0
V30230,20040623.1751,Person,Nuisance Fire,50.31010000000001,-122.6509,0.0
V70940,20110908.2045,Person,Nuisance Fire,49.31,-125.1283,0.0
V70017,20120514.1705,Person,Nuisance Fire,49.1721,-124.0377,0.0
V71163,20100830.083,Person,Nuisance Fire,49.1274,-123.9184,0.0
V10177,20140706.1852,Person,Nuisance Fire,49.2379,-121.6039,0.0
V80294,20110703.2002,Person,Nuisance Fire,49.7564,-125.1885,0.0
R10153,20120819.1709,Person,Nuisance Fire,54.0333,-126.15,0.0
V10462,20110731.0007,Person,Nuisance Fire,49.06,-120.78,0.0
V10967,20110911.1341,Person,Nuisance Fire,49.5227,-121.7664,0.0
V30360,20040726.1416,Person,Nuisance Fire,49.88330000000001,-123.2333,0.0
V80462,20080807.2125,Person,Nuisance Fire,49.9108,-126.6519,0.0
V71015,20110913.104,Person,Nuisance Fire,49.3952,-124.9464,0.0
V10436,20120819.1452,Person,Nuisance Fire,49.07720000000001,-121.7832,0.0
