FIRE_NO,IGN_DATE,FIRE_CAUSE,FIRE_TYPE,LATITUDE,LONGITUDE,SIZE_HA
G32373,20180809.17394,Unknown,Fire,52.26900000000001,-118.5776,13.0
G40532,20011006.15,Person,Fire,53.5797,-125.0671,2.5
R50101,20150627.1715,Lightning,Fire,53.03890000000001,-127.4585,1159.3
N70255,20140730.1815,Lightning,Fire,49.7914,-117.0082,15.0
K50210,20140707.1603,Person,Fire,49.3142,-119.6568,20.0
K51836,20191107.111836,Unknown,Fire,49.0732,-119.4473,80.0
R92033,20180730.0043,Lightning,Fire,59.85590000000001,-128.6699,100779.0
G71668,20170803.1524,Lightning,Fire,55.4026,-122.082,58.0
K71024,20130331.143,Person,Fire,50.40150000000001,-121.323,2.0
K71856,20200319.10352,Person,Fire,50.2636,-121.5733,66.0
G80147,20000627.12,Lightning,Fire,58.4053,-120.9253,2.0
V60283,20030731.13,Person,Fire,48.4758,-123.4757,2.0
N60063,20010523.16,Person,Fire,49.66670000000001,-118.68299999999999,2.0
C50013,20080413.15,Person,Nuisance Fire,52.0122,-123.1844,3.8
V60839,20120924.17,Person,Fire,48.80430000000001,-123.8286,4.4
G90800,20061005.15,Person,Fire,57.8951,-123.7543,20.0
C50308,20060722.2044,Lightning,Fire,52.1604,-123.7152,199.0
K40684,20030830.13,Person,Fire,50.06200000000001,-118.6808,2.0
G40066,20140518.1441,Person,Nuisance Fire,53.8817,-123.8479,4.0
K20187,20060627.1245,Person,Fire,51.43530000000001,-119.689,234.0
G80141,20160505.2129,Unknown,Duplicate,56.2817,-121.39,236.0
K70296,20010826.16,Person,Fire,50.2686,-121.3978,3.0
G90281,20120727.1356,Lightning,Fire,58.3526,-121.4504,6.7
G81916,20180728.2333,Lightning,Fire,58.1784,-121.7069,4.0
R92162,20180731.2033,Lightning,Fire,57.91,-130.6285,2568.0
C20195,20010816.1,Lightning,Fire,52.1417,-122.3559,2.0
C30149,20000627.133,Person,Fire,52.4554,-120.9959,40.0
C10133,20140804.1359,Lightning,Fire,52.7178,-122.973,40.0
